Class,Sentences
ntr,শেখ হাসিনার আশকারা পেয়ে সাকিব এখন বিশাল ক্ষমতাধর।এখন তার চোখ আগামীর বিসিবির বসের চেয়ার। সাকিব তো সাকিবই শেখ হাসিনার ছেলে...
pos,শুভ কামনা
neg,এইসব মানুষ কখনো নিজেকে পরিবর্তনে নিয়ে আসতে পারবেনা। 
ntr,ভাতিজা ছুটি নিলে বাইরে আগে থেকে খবর বের হয়না।
ntr,আর সাকিব ছুটি চাওয়ার আগেই আকরাম সাব ব্রিফিং করে সাংবাদিকদের জানিয়ে দেয়।
ntr,ঠেলার নাম বাবাজি 
ntr,হ্যালো সাংবাদিক ভাইয়েরা শুধু শাকিব আল হাসান কি বলেছে সেটা নয় সাধারণ মানুষ কি বলছে সেটা তুলে ধরেন মানুষ কি বলছে পাপন দা কে কি চাচ্ছে নাকি। 
pos,সাকিবের মত খেলোয়ার যুগে যুগে পাওয়া যায় না। 100 বছরে একবার সাকিবের মত খেলোয়াড় জন্ম নেয়। যে যাই বলুক না কেন সাকিব শুধু সাকিব।
neg, তুমি বাংলাদেশ দলের কারণেই আইপিএল এ সুযোগ পেয়েছে তাই জাতীয় দলে না খেলে বিদেশি লীগে খেলা বেইমানী
neg,ক্রিকেট বোর্ডটাকে এরা নিজেদের সম্পত্তি বানায়া ফেলছে।
ntr,আইসিসির এক টুর্নামেন্ট জিতছে সেই ঘি আজো কপচায়ে এরা বোর্ডে টিকে আছে।
neg,তামিমের মতো সিনিয়র প্লেয়ার দিনের পর দিন দেশকে ডোবাচ্ছে কিন্তু সে টিকে আছে।
ntr,আৃশা করি বিসিবি সভাপতি পদ নিয়ে আমার আর সাকিবের মধ্যে তুমুল প্রতিযোগিতা হবে
neg,অনতি বিলম্বে বাংলাদেশ ক্রিকেট থেকে সাকিবকে বহিষ্কার করা হোক।বোর্ডের আশকারায় সাকিব একের পর এক বির্তকের জন্ম দিয়ে চলেছে।তাই এই বির্তকিত সাকিবের শাস্তি হওয়া এখন জরুরি।
pos, বাংলাদেশের ক্রিকেটে আজকের অবস্থানের জন্য আকরাম খানের অবদান অনেক। 
neg,"শুধু বাংলাদেশ ক্রিকেট বোর্ড না এমন একদিন আসবে সারাদেশের ক্রিকেট ভক্তরাও সাকিবের বিরুদ্ধে প্রতিরোধ গড়ে তুলতে সাকিবের খেলা দেখা বন্ধ করে দিবে শুধু মাত্র তাহার আচার ব্যবহার অহংকার নিঃস্বার্থতার কারণে, দেশের প্রয়োজনে তাকে কখনোই পাওয়া যায় না ,"
ntr,তামিমের সাথে একটা দ্বন্দ্বের কথা বেশ কিছু দিন আগেই শোনা গিয়েছিল। এখন এটা পরিষ্কার। 
neg,বাংলাদেশ ক্রিকেট বোর্ডের ব্যর্থতায় এখন বাংলাদেশের খেলার মান সর্বোচ্চ নিম্ন পর্যায়ে চলে গেছে 
ntr,সাকিব ভাই সবসময় ক্ষমতার কাছাকাছি থাকতে পছন্দ করেন। কোকো থেকে পাপন যখন যাকে প্রয়োজন তখন তাকে পাম দিয়েছেন।
neg,ক্রিকেট বোর্ডের কর্মকর্তাদের ব্যর্থতায় ক্রিকেট দলের এখন এই বেহাল অবস্থা। 
ntr,সাকিবের সাথে লাগতে যেয়েন না! সে কিন্তু আইপিএল এর খেলোয়াড়!!
pos,সাকিব তামিমরাই দেশের ভবিষ্যৎ!
pos,সাকিব আমাদের না পৃথিবীর সেরা 
ntr,"এসব পোস্ট দেখলে কিছু লিখতে ইচ্ছে করে। কিছু লিখলেই আবার ফ্রেন্ডলিস্টে থাকা ভাই_ব্রাদার্স, আত্নীয়_স্বজন, বন্ধু_বান্ধব দেখে ফেলে। তাই কিছু লিখলাম না। তবে হ্যা মনে মনে অনেক কিছু বলে গেলাম।"
pos,তার কথাটা অনেক সুন্দর ভাল লেগেছে।
pos,বাংলাদেশের সেরা সভাপতি পাপন
pos,সাকিব চিন্তাভাবনায় এগিয়ে আছে দেশের অনেকের থেকেই। এই জন্যই তার পক্ষে সম্ভব হয়েছে বিশ্বকাপে সর্বোচ্চ রান সংগ্রাহক হওয়া।
pos,আশা করি একদিন সাকিব বোর্ডের দায়িত্ব নিবে আর বাংলাদেশের ক্রিকেটকে পরের লেভেলে নিয়ে যাবে।
neg,বাংলাদেশ ক্রিকেট এর এই পরিস্থিতির জন্য অবশ্যই ক্রিকেট বোর্ড দায়ী। কোন সিদ্ধান্ত ঠিকভাবে নিতে পারে না।
ntr,বোর্ড পরিচালকদের মেয়াদ শেষ হওয়ার পরও তারা মেয়াদ বাড়িয়ে বহাল তবিয়তেই থাকে।
neg,ক্রিকেট বোর্ড একটা সিন্ডিকেট এ পরিনত হইছে
pos,সাকিব বিসিবির সভাপতি হলে বাংলাদেশ ক্রিকেটের ব্যাপক উন্নতি হবে।
pos,ঠিকই বলছে
neg,এখানে খারাপ কিছুর গন্ধ আমি পাই
neg,সাকিব দিন দিন উগ্র হয়ে যাচ্ছে! বেশি বেশি প্রেসার নেয়ার দরুন তার মস্তিস্ক বিকৃত মনভাব প্রকাশ পাচ্ছে।
pos,বাংলাদেশের খেলোয়াদের মধ্যে মাশরাফি ও সাকিব সবচেয়ে যোগ্য।
ntr,বোর্ডে আকরাম খানের কাজ কি? সাকিবের চিঠি না পড়ে কথা বলে কেন? এই আকরাম খানের জন্য সাকিব ৬ মাস নিষিদ্ধ ছিল
neg,"একটা সাধারণ ব্যাপার মিডিয়ার লোকজন এমনভাবে সাজিয়ে গুছিয়ে উপস্থাপন করে, এভাবে দেশের ক্রিকেটের বারোটা বাজিয়ে ছাড়বে এরা।"
ntr,সাকিব বিসিবির সভাপতি হোক তাতে আমার কোন সমস্যা নেই
neg,"আকরাম খান আর নান্নু বাংলাদেশ ক্রিকেটে এখন কারেন্টের খাম্বা ছারা আর কিছুই না, এই দূই বুজুরগি দিয়া বাংলাদেশ ক্রিকেট চলবে না,"
ntr,হ্যা এখন বুঝলাম সাকিব কেন নিউজিল্যান্ডের সফরে যায় নি!! কারণ নিউজিল্যান্ডের পেসারদের জন্য.
neg,"নান্নু আর আকরাম অপদার্থ ও দল নির্বাচনে পুরোপুরি অযোগ্য,"
pos,সাকিব যে সঠিক তা বর্তমান বাংলাদেশ দলের ভরাডুবিই প্রমান করে।
ntr,"ক্রিকেট বোর্ডকে যতদিন কেসিনো থেকে পেশাদার অবস্থানে না নেয়া যাবে,ততদিন বাংলাদেশ ক্রিকেটে আর পরিবর্তন আসবেনা। "
neg,আকরাম খানদের মতো লোক আছে বলেই সাকিবের মতো লোক এতো গুলো অপরাধ করে ও জাতীয় দলে আছে।
ntr,সময় এসেছে হাওয়াবদলের।
ntr,বিসিবিকে আমূল সংস্কার এর আওতায় আনা খুবই জরুরি।
ntr,"সকিব বলেছেন টেস্ট খেলবেন না এ কথা বলেননি, কিন্তু একবারও বলেননি আইপিএল খেলবেন না। তার মানি বুঝাতে চাচ্ছেন ঠাকুর ঘরে কেরে আমি কলা খাই না। "
neg,"সব গুলোর অপসারণ প্রয়োজন,,"
neg,"সাকিবকে হয়তো জামাত বা বিএনপির এজেন্ট সাজিয়ে চিরতরে ক্রিকেট থেকে সরিয়ে দেয়া হতে পারে!!,"
neg,আমি নিশ্চিত যে আমার মত অনেকেরই সাকিবের অনেক কিছু ভাল লাগে না
